prompt_id,layer_count,mean_point_distance,max_point_distance,baseline_path_length,observer_path_length,path_length_delta
random_baseline_math_01,5,4.812863333362162e-06,1.1223413749637432e-05,9.9909855426402,9.990978230467185,-7.312173014639711e-06
transition_03,5,3.3268503094860346e-06,5.008209118270875e-06,8.903089173279827,8.903091488203966,2.3149241386022368e-06
transition_01,5,2.700287397978791e-06,7.448434520632414e-06,9.544925477173535,9.544925915997439,4.38823903436969e-07
transition_02,5,2.197790883645474e-06,4.163801478522534e-06,12.981708694980115,12.981709093278992,3.982988765471873e-07
hallucination_02,5,2.186072164921884e-06,3.337860107421875e-06,14.159140528924084,14.159144419403445,3.8904793608907084e-06
hallucination_01,5,2.149980397137572e-06,5.02944543593621e-06,10.617442574328555,10.617439592096007,-2.982232548021102e-06
reasoning_01,5,2.0848243086181863e-06,3.932099938981686e-06,10.72484313755752,10.724840491682667,-2.645874854323438e-06
anchored_02,5,2.047867527326866e-06,2.900487198971853e-06,13.929487875724982,13.929485110105034,-2.7656199481640442e-06
contrast_degeneracy_01,5,1.8234471710503319e-06,3.015782985847835e-06,18.28978983215118,18.289789625813327,-2.0633785169366092e-07
reasoning_03,5,1.7090439016181293e-06,2.5344242603146195e-06,16.761834112932778,16.76182807223749,-6.040695289755149e-06
anchored_01,5,1.6956519597466505e-06,1.922192036699903e-06,9.493555974766027,9.493559695274062,3.7205080349878017e-06
reasoning_02,5,1.6833625878513953e-06,3.932099938981686e-06,12.237388802526592,12.237393332663746,4.5301371542905144e-06
random_baseline_degeneracy_01,5,1.5950690994829062e-06,5.246563216368052e-06,13.394873417964723,13.39488251363684,9.095672117709341e-06
random_baseline_recall_01,5,1.25654995568749e-06,1.966049969490843e-06,13.842140911329219,13.842141830601864,9.19272645560909e-07
anchored_03,5,1.1191153680632476e-06,2.037049232797034e-06,13.207321052662925,13.207317722360155,-3.33030276955526e-06
hallucination_03,5,1.0371868755426202e-06,2.132480599880018e-06,15.141657033694578,15.141658109747135,1.0760525572806046e-06
